order_id,customer_id,destination_id,shipping_mode_id,order_status_id,delivery_status_id,order_type_id,order_date,shipping_date,days_for_shipping_real,days_for_shipment_scheduled
29,196,158,4,8,2,4,1/1/2015 9:48,1/6/2015 9:48,5,4
30,10039,158,4,7,2,3,1/1/2015 10:09,1/7/2015 10:09,6,4
31,6983,158,4,5,1,3,1/1/2015 10:30,1/3/2015 10:30,2,4
33,5793,158,1,7,2,3,1/1/2015 11:12,1/3/2015 11:12,2,1
34,4189,158,1,8,2,4,1/1/2015 11:33,1/3/2015 11:33,2,1
35,4840,185,3,3,2,2,1/1/2015 11:54,1/7/2015 11:54,6,2
36,5649,185,3,6,4,4,1/1/2015 12:15,1/3/2015 12:15,2,2
37,5863,185,3,2,2,1,1/1/2015 12:36,1/4/2015 12:36,3,2
38,11586,45,3,8,2,4,1/1/2015 12:57,1/5/2015 12:57,4,2
39,8214,45,3,6,2,4,1/1/2015 13:18,1/6/2015 13:18,5,2
41,8136,77,1,7,2,3,1/1/2015 14:00,1/3/2015 14:00,2,1
42,9776,187,1,6,2,4,1/1/2015 14:21,1/3/2015 14:21,2,1
43,7776,244,1,7,2,3,1/1/2015 14:42,1/3/2015 14:42,2,1
44,10500,244,4,6,2,4,1/1/2015 15:03,1/6/2015 15:03,5,4
45,2636,244,4,3,2,2,1/1/2015 15:24,1/7/2015 15:24,6,4
46,1549,1481,4,4,1,2,1/1/2015 15:45,1/3/2015 15:45,2,4
48,12186,85,4,8,4,4,1/1/2015 16:27,1/5/2015 16:27,4,4
49,1871,1471,4,6,2,4,1/1/2015 16:49,1/6/2015 16:49,5,4
50,5225,1709,4,1,3,4,1/1/2015 17:10,1/7/2015 17:10,6,4
51,12271,228,4,2,1,1,1/1/2015 17:31,1/3/2015 17:31,2,4
52,5126,158,4,7,1,3,1/1/2015 17:52,1/4/2015 17:52,3,4
56,10519,85,4,3,1,2,1/1/2015 19:16,1/3/2015 19:16,2,4
57,7073,85,4,2,1,1,1/1/2015 19:37,1/4/2015 19:37,3,4
58,9213,202,4,7,4,3,1/1/2015 19:58,1/5/2015 19:58,4,4
59,11644,293,4,7,2,3,1/1/2015 20:19,1/6/2015 20:19,5,4
61,4791,164,3,2,4,1,1/1/2015 21:01,1/3/2015 21:01,2,2
62,9111,1656,4,2,1,1,1/1/2015 21:22,1/4/2015 21:22,3,4
63,1148,158,4,3,4,2,1/1/2015 21:43,1/5/2015 21:43,4,4
64,5579,261,1,7,2,3,1/1/2015 22:04,1/3/2015 22:04,2,1
65,5903,261,1,3,2,2,1/1/2015 22:25,1/3/2015 22:25,2,1
66,1792,154,4,4,1,2,1/1/2015 22:46,1/3/2015 22:46,2,4
67,1406,52,4,3,1,2,1/1/2015 23:07,1/4/2015 23:07,3,4
68,4320,52,4,6,4,4,1/1/2015 23:28,1/5/2015 23:28,4,4
69,2821,1707,4,9,3,4,1/1/2015 23:49,1/6/2015 23:49,5,4
70,11809,1707,4,7,2,3,1/2/2015 0:10,1/8/2015 0:10,6,4
71,8646,1555,4,3,1,2,1/2/2015 0:31,1/4/2015 0:31,2,4
72,4349,85,4,3,1,2,1/2/2015 0:52,1/5/2015 0:52,3,4
73,8504,235,4,7,4,3,1/2/2015 1:13,1/6/2015 1:13,4,4
74,662,235,4,7,2,3,1/2/2015 1:34,1/7/2015 1:34,5,4
75,2505,235,4,7,2,3,1/2/2015 1:55,1/8/2015 1:55,6,4
77,7915,1773,4,7,1,3,1/2/2015 2:37,1/5/2015 2:37,3,4
81,674,294,4,8,1,4,1/2/2015 4:01,1/4/2015 4:01,2,4
83,1265,294,4,3,4,2,1/2/2015 4:43,1/6/2015 4:43,4,4
84,6789,185,3,8,2,4,1/2/2015 5:04,1/7/2015 5:04,5,2
87,3065,175,4,2,1,1,1/2/2015 6:07,1/5/2015 6:07,3,4
88,3809,175,4,3,4,2,1/2/2015 6:28,1/6/2015 6:28,4,4
91,8912,163,1,3,2,2,1/2/2015 7:31,1/4/2015 7:31,2,1
92,6932,163,3,3,2,2,1/2/2015 7:52,1/5/2015 7:52,3,2
93,2256,170,3,7,2,3,1/2/2015 8:13,1/6/2015 8:13,4,2
94,11589,170,4,8,2,4,1/2/2015 8:34,1/7/2015 8:34,5,4
95,9032,170,1,3,2,2,1/2/2015 8:55,1/4/2015 8:55,2,1
96,8683,1596,3,6,4,4,1/2/2015 9:16,1/4/2015 9:16,2,2
97,10784,1596,3,6,2,4,1/2/2015 9:37,1/5/2015 9:37,3,2
98,5243,282,4,3,4,2,1/2/2015 9:59,1/6/2015 9:59,4,4
99,11542,85,3,7,2,3,1/2/2015 10:20,1/7/2015 10:20,5,2
100,12131,85,3,8,2,4,1/2/2015 10:41,1/8/2015 10:41,6,2
101,5116,148,3,2,4,1,1/2/2015 11:02,1/4/2015 11:02,2,2
103,12256,206,4,8,4,4,1/2/2015 11:44,1/6/2015 11:44,4,4
104,7790,206,4,7,2,3,1/2/2015 12:05,1/7/2015 12:05,5,4
105,8220,239,4,3,2,2,1/2/2015 12:26,1/8/2015 12:26,6,4
106,395,185,4,8,1,4,1/2/2015 12:47,1/4/2015 12:47,2,4
107,1845,85,4,3,1,2,1/2/2015 13:08,1/5/2015 13:08,3,4
110,2746,217,4,3,2,2,1/2/2015 14:11,1/8/2015 14:11,6,4
111,4271,163,4,8,1,4,1/2/2015 14:32,1/4/2015 14:32,2,4
112,5375,152,4,1,3,4,1/2/2015 14:53,1/5/2015 14:53,3,4
113,10216,1401,4,7,4,3,1/2/2015 15:14,1/6/2015 15:14,4,4
114,2091,1401,2,3,2,2,1/2/2015 15:35,1/3/2015 3:35,1,0
115,104,1401,4,8,2,4,1/2/2015 15:56,1/8/2015 15:56,6,4
116,8763,74,4,2,1,1,1/2/2015 16:17,1/4/2015 16:17,2,4
117,58,1534,4,9,3,4,1/2/2015 16:38,1/5/2015 16:38,3,4
118,1737,1714,4,3,4,2,1/2/2015 16:59,1/6/2015 16:59,4,4
119,8124,1714,4,7,2,3,1/2/2015 17:20,1/7/2015 17:20,5,4
120,356,1714,1,7,2,3,1/2/2015 17:41,1/4/2015 17:41,2,1
121,2074,158,4,6,1,4,1/2/2015 18:02,1/4/2015 18:02,2,4
122,2071,1807,4,8,1,4,1/2/2015 18:23,1/5/2015 18:23,3,4
123,3695,70,4,7,4,3,1/2/2015 18:44,1/6/2015 18:44,4,4
124,2374,70,4,3,2,2,1/2/2015 19:05,1/7/2015 19:05,5,4
127,5261,1547,4,7,1,3,1/2/2015 20:08,1/5/2015 20:08,3,4
129,9937,1547,4,2,2,1,1/2/2015 20:50,1/7/2015 20:50,5,4
130,7509,51,4,7,2,3,1/2/2015 21:11,1/8/2015 21:11,6,4
131,10072,185,4,8,1,4,1/2/2015 21:32,1/4/2015 21:32,2,4
132,289,194,4,6,1,4,1/2/2015 21:53,1/5/2015 21:53,3,4
133,10604,85,3,2,2,1,1/2/2015 22:14,1/6/2015 22:14,4,2
134,12081,85,4,7,2,3,1/2/2015 22:35,1/7/2015 22:35,5,4
135,7738,1411,4,3,2,2,1/2/2015 22:56,1/8/2015 22:56,6,4
136,9126,1411,4,7,1,3,1/2/2015 23:17,1/4/2015 23:17,2,4
137,4211,1411,4,3,1,2,1/2/2015 23:38,1/5/2015 23:38,3,4
139,7933,195,4,3,2,2,1/3/2015 0:20,1/8/2015 0:20,5,4
140,4257,1574,4,7,2,3,1/3/2015 0:41,1/9/2015 0:41,6,4
141,12128,1574,4,3,1,2,1/3/2015 1:02,1/5/2015 1:02,2,4
142,5760,208,3,7,2,3,1/3/2015 1:23,1/6/2015 1:23,3,2
143,10495,208,4,3,4,2,1/3/2015 1:44,1/7/2015 1:44,4,4
145,494,85,4,4,2,2,1/3/2015 2:26,1/9/2015 2:26,6,4
146,8177,85,4,3,1,2,1/3/2015 2:48,1/5/2015 2:48,2,4
147,275,156,4,7,1,3,1/3/2015 3:09,1/6/2015 3:09,3,4
148,5383,156,4,8,4,4,1/3/2015 3:30,1/7/2015 3:30,4,4
149,11431,156,2,3,4,2,1/3/2015 3:51,1/3/2015 15:51,0,0
150,236,156,4,8,2,4,1/3/2015 4:12,1/9/2015 4:12,6,4
151,2493,53,3,4,4,2,1/3/2015 4:33,1/5/2015 4:33,2,2
152,3611,53,3,3,2,2,1/3/2015 4:54,1/6/2015 4:54,3,2
154,9993,84,3,4,2,2,1/3/2015 5:36,1/8/2015 5:36,5,2
155,9044,1458,3,7,2,3,1/3/2015 5:57,1/9/2015 5:57,6,2
156,5200,285,1,4,2,2,1/3/2015 6:18,1/5/2015 6:18,2,1
157,8986,285,1,4,2,2,1/3/2015 6:39,1/5/2015 6:39,2,1
158,12345,256,1,6,2,4,1/3/2015 7:00,1/5/2015 7:00,2,1
159,10974,256,3,7,2,3,1/3/2015 7:21,1/8/2015 7:21,5,2
160,6762,49,4,3,2,2,1/3/2015 7:42,1/9/2015 7:42,6,4
161,4513,49,4,7,1,3,1/3/2015 8:03,1/5/2015 8:03,2,4
162,3304,62,4,7,1,3,1/3/2015 8:24,1/6/2015 8:24,3,4
163,3348,62,4,3,4,2,1/3/2015 8:45,1/7/2015 8:45,4,4
164,2962,1798,4,8,2,4,1/3/2015 9:06,1/8/2015 9:06,5,4
165,1222,161,4,7,2,3,1/3/2015 9:27,1/9/2015 9:27,6,4
166,7834,137,4,8,1,4,1/3/2015 9:48,1/5/2015 9:48,2,4
167,1347,137,3,6,2,4,1/3/2015 10:09,1/6/2015 10:09,3,2
168,11794,85,3,7,2,3,1/3/2015 10:30,1/7/2015 10:30,4,2
170,6295,163,3,5,2,3,1/3/2015 11:12,1/9/2015 11:12,6,2
171,1980,285,3,3,4,2,1/3/2015 11:33,1/5/2015 11:33,2,2
172,11382,214,4,3,1,2,1/3/2015 11:54,1/6/2015 11:54,3,4
173,9027,214,3,4,2,2,1/3/2015 12:15,1/7/2015 12:15,4,2
174,3358,214,3,3,2,2,1/3/2015 12:36,1/8/2015 12:36,5,2
175,384,214,1,3,2,2,1/3/2015 12:57,1/5/2015 12:57,2,1
177,9151,136,4,7,1,3,1/3/2015 13:39,1/6/2015 13:39,3,4
178,8503,136,4,3,4,2,1/3/2015 14:00,1/7/2015 14:00,4,4
179,6506,66,4,3,2,2,1/3/2015 14:21,1/8/2015 14:21,5,4
180,10215,66,4,4,2,2,1/3/2015 14:42,1/9/2015 14:42,6,4
181,7473,66,4,6,1,4,1/3/2015 15:03,1/5/2015 15:03,2,4
182,10984,66,4,3,1,2,1/3/2015 15:24,1/6/2015 15:24,3,4
184,210,70,4,3,2,2,1/3/2015 16:06,1/8/2015 16:06,5,4
185,10966,85,4,7,2,3,1/3/2015 16:27,1/9/2015 16:27,6,4
186,1104,1726,4,3,1,2,1/3/2015 16:48,1/5/2015 16:48,2,4
188,2889,1726,4,6,4,4,1/3/2015 17:30,1/7/2015 17:30,4,4
189,10177,1726,4,6,2,4,1/3/2015 17:51,1/8/2015 17:51,5,4
190,11115,1726,4,6,2,4,1/3/2015 18:12,1/9/2015 18:12,6,4
191,16,1726,3,2,4,1,1/3/2015 18:33,1/5/2015 18:33,2,2
192,5293,1726,2,8,2,4,1/3/2015 18:54,1/4/2015 6:54,1,0
193,6174,209,2,8,2,4,1/3/2015 19:15,1/4/2015 7:15,1,0
194,2550,1746,2,7,2,3,1/3/2015 19:36,1/4/2015 7:36,1,0
195,12096,294,3,8,2,4,1/3/2015 19:58,1/9/2015 19:58,6,2
196,2765,256,4,8,1,4,1/3/2015 20:19,1/5/2015 20:19,2,4
197,6370,293,4,8,1,4,1/3/2015 20:40,1/6/2015 20:40,3,4
198,7436,293,4,7,4,3,1/3/2015 21:01,1/7/2015 21:01,4,4
200,11116,77,4,5,2,3,1/3/2015 21:43,1/9/2015 21:43,6,4
201,9055,77,4,2,1,1,1/3/2015 22:04,1/5/2015 22:04,2,4
202,8524,77,4,7,1,3,1/3/2015 22:25,1/6/2015 22:25,3,4
204,7604,257,4,7,2,3,1/3/2015 23:07,1/8/2015 23:07,5,4
205,3109,1789,4,8,2,4,1/3/2015 23:28,1/9/2015 23:28,6,4
206,8994,1789,4,6,1,4,1/3/2015 23:49,1/5/2015 23:49,2,4
207,11643,1789,4,3,1,2,1/4/2015 0:10,1/7/2015 0:10,3,4
208,7923,1392,4,8,4,4,1/4/2015 0:31,1/8/2015 0:31,4,4
209,3627,1392,4,6,2,4,1/4/2015 0:52,1/9/2015 0:52,5,4
211,10372,1392,3,2,4,1,1/4/2015 1:34,1/6/2015 1:34,2,2
212,3190,1392,4,6,1,4,1/4/2015 1:55,1/7/2015 1:55,3,4
213,11715,1392,4,2,4,1,1/4/2015 2:16,1/8/2015 2:16,4,4
214,3925,85,4,3,2,2,1/4/2015 2:37,1/9/2015 2:37,5,4
215,5925,1663,4,2,2,1,1/4/2015 2:58,1/10/2015 2:58,6,4
216,7282,85,4,6,1,4,1/4/2015 3:19,1/6/2015 3:19,2,4
219,10655,85,4,8,2,4,1/4/2015 4:22,1/9/2015 4:22,5,4
220,1383,85,4,3,2,2,1/4/2015 4:43,1/10/2015 4:43,6,4
221,11871,228,4,2,1,1,1/4/2015 5:04,1/6/2015 5:04,2,4
222,8309,228,1,2,2,1,1/4/2015 5:25,1/6/2015 5:25,2,1
223,9068,228,1,6,2,4,1/4/2015 5:46,1/6/2015 5:46,2,1
224,11938,228,1,2,2,1,1/4/2015 6:07,1/6/2015 6:07,2,1
225,11275,228,1,3,2,2,1/4/2015 6:28,1/6/2015 6:28,2,1
226,9356,228,1,7,2,3,1/4/2015 6:49,1/6/2015 6:49,2,1
227,7410,172,1,2,2,1,1/4/2015 7:10,1/6/2015 7:10,2,1
228,6070,139,1,4,2,2,1/4/2015 7:31,1/6/2015 7:31,2,1
229,618,287,4,6,2,4,1/4/2015 7:52,1/9/2015 7:52,5,4
230,4921,161,4,7,2,3,1/4/2015 8:13,1/10/2015 8:13,6,4
231,3960,161,4,3,1,2,1/4/2015 8:34,1/6/2015 8:34,2,4
232,1780,161,4,7,1,3,1/4/2015 8:55,1/7/2015 8:55,3,4
234,1010,161,4,4,2,2,1/4/2015 9:37,1/9/2015 9:37,5,4
235,4285,141,4,7,2,3,1/4/2015 9:58,1/10/2015 9:58,6,4
236,9785,141,4,3,1,2,1/4/2015 10:19,1/6/2015 10:19,2,4
237,11438,281,4,7,1,3,1/4/2015 10:40,1/7/2015 10:40,3,4
238,4939,227,4,7,4,3,1/4/2015 11:01,1/8/2015 11:01,4,4
239,5058,257,4,3,2,2,1/4/2015 11:22,1/9/2015 11:22,5,4
240,32,257,2,6,4,4,1/4/2015 11:43,1/4/2015 23:43,0,0
241,948,65,4,2,1,1,1/4/2015 12:04,1/6/2015 12:04,2,4
242,3237,65,4,5,1,3,1/4/2015 12:25,1/7/2015 12:25,3,4
243,32,65,4,4,4,2,1/4/2015 12:47,1/8/2015 12:47,4,4
244,6910,65,4,7,2,3,1/4/2015 13:08,1/9/2015 13:08,5,4
245,5191,138,1,2,2,1,1/4/2015 13:29,1/6/2015 13:29,2,1
246,9616,138,3,9,3,4,1/4/2015 13:50,1/6/2015 13:50,2,2
247,173,67,3,3,2,2,1/4/2015 14:11,1/7/2015 14:11,3,2
248,11707,67,4,3,4,2,1/4/2015 14:32,1/8/2015 14:32,4,4
249,7650,141,3,2,2,1,1/4/2015 14:53,1/9/2015 14:53,5,2
250,11668,141,4,3,2,2,1/4/2015 15:14,1/10/2015 15:14,6,4
251,568,185,4,6,1,4,1/4/2015 15:35,1/6/2015 15:35,2,4
252,9708,1392,4,3,1,2,1/4/2015 15:56,1/7/2015 15:56,3,4
253,45,1392,4,3,4,2,1/4/2015 16:17,1/8/2015 16:17,4,4
254,9395,1392,4,3,2,2,1/4/2015 16:38,1/9/2015 16:38,5,4
255,10346,62,3,3,2,2,1/4/2015 16:59,1/10/2015 16:59,6,2
256,4199,229,4,2,1,1,1/4/2015 17:20,1/6/2015 17:20,2,4
257,3273,229,3,8,2,4,1/4/2015 17:41,1/7/2015 17:41,3,2
259,3454,185,3,3,2,2,1/4/2015 18:23,1/9/2015 18:23,5,2
260,5135,185,4,2,2,1,1/4/2015 18:44,1/10/2015 18:44,6,4
262,11475,249,4,2,1,1,1/4/2015 19:26,1/7/2015 19:26,3,4
263,8026,1700,4,3,4,2,1/4/2015 19:47,1/8/2015 19:47,4,4
264,230,1822,4,3,2,2,1/4/2015 20:08,1/9/2015 20:08,5,4
265,488,174,1,7,2,3,1/4/2015 20:29,1/6/2015 20:29,2,1
266,11085,151,1,3,2,2,1/4/2015 20:50,1/6/2015 20:50,2,1
267,6989,219,1,2,2,1,1/4/2015 21:11,1/6/2015 21:11,2,1
268,5578,1538,1,2,2,1,1/4/2015 21:32,1/6/2015 21:32,2,1
269,11887,1538,4,8,2,4,1/4/2015 21:53,1/9/2015 21:53,5,4
271,815,1399,4,3,1,2,1/4/2015 22:35,1/6/2015 22:35,2,4
272,428,1399,4,2,1,1,1/4/2015 22:56,1/7/2015 22:56,3,4
273,10665,172,4,7,4,3,1/4/2015 23:17,1/8/2015 23:17,4,4
274,3365,158,2,6,2,4,1/4/2015 23:38,1/5/2015 11:38,1,0
275,10942,158,2,7,2,3,1/4/2015 23:59,1/5/2015 11:59,1,0
277,3732,137,2,6,4,4,1/5/2015 0:41,1/5/2015 12:41,0,0
278,488,137,4,5,4,3,1/5/2015 1:02,1/9/2015 1:02,4,4
279,10372,1676,4,3,2,2,1/5/2015 1:23,1/10/2015 1:23,5,4
280,11836,1490,4,6,2,4,1/5/2015 1:44,1/11/2015 1:44,6,4
281,827,1611,4,7,1,3,1/5/2015 2:05,1/7/2015 2:05,2,4
282,3551,137,4,7,1,3,1/5/2015 2:26,1/8/2015 2:26,3,4
283,11466,67,3,3,2,2,1/5/2015 2:47,1/9/2015 2:47,4,2
284,861,1459,3,8,2,4,1/5/2015 3:08,1/10/2015 3:08,5,2
285,5011,239,4,2,2,1,1/5/2015 3:29,1/11/2015 3:29,6,4
286,9824,239,4,4,1,2,1/5/2015 3:50,1/7/2015 3:50,2,4
287,8122,239,3,3,2,2,1/5/2015 4:11,1/8/2015 4:11,3,2
288,8667,239,3,3,2,2,1/5/2015 4:32,1/9/2015 4:32,4,2
289,1195,1804,4,7,2,3,1/5/2015 4:53,1/10/2015 4:53,5,4
290,6446,135,4,3,2,2,1/5/2015 5:14,1/11/2015 5:14,6,4
292,11971,1422,4,7,1,3,1/5/2015 5:57,1/8/2015 5:57,3,4
293,4731,1550,4,8,4,4,1/5/2015 6:18,1/9/2015 6:18,4,4
294,11394,1700,4,2,2,1,1/5/2015 6:39,1/10/2015 6:39,5,4
295,1937,227,4,6,2,4,1/5/2015 7:00,1/11/2015 7:00,6,4
296,6665,227,1,3,2,2,1/5/2015 7:21,1/7/2015 7:21,2,1
297,2281,227,4,6,1,4,1/5/2015 7:42,1/8/2015 7:42,3,4
299,9202,1395,4,7,2,3,1/5/2015 8:24,1/10/2015 8:24,5,4
300,11326,158,4,2,2,1,1/5/2015 8:45,1/11/2015 8:45,6,4
301,11999,1459,4,3,1,2,1/5/2015 9:06,1/7/2015 9:06,2,4
302,3577,1459,4,3,1,2,1/5/2015 9:27,1/8/2015 9:27,3,4
303,1682,185,4,7,4,3,1/5/2015 9:48,1/9/2015 9:48,4,4
304,1869,185,3,3,2,2,1/5/2015 10:09,1/10/2015 10:09,5,2
305,5618,1731,3,4,2,2,1/5/2015 10:30,1/11/2015 10:30,6,2
306,137,1731,3,3,4,2,1/5/2015 10:51,1/7/2015 10:51,2,2
307,8818,139,3,6,2,4,1/5/2015 11:12,1/8/2015 11:12,3,2
308,6829,139,1,7,2,3,1/5/2015 11:33,1/7/2015 11:33,2,1
311,410,203,3,3,4,2,1/5/2015 12:36,1/7/2015 12:36,2,2
312,1122,203,3,3,2,2,1/5/2015 12:57,1/8/2015 12:57,3,2
313,7543,294,3,2,2,1,1/5/2015 13:18,1/9/2015 13:18,4,2
314,10033,294,3,7,2,3,1/5/2015 13:39,1/10/2015 13:39,5,2
315,4375,294,4,7,2,3,1/5/2015 14:00,1/11/2015 14:00,6,4
316,3870,294,3,8,4,4,1/5/2015 14:21,1/7/2015 14:21,2,2
318,8829,288,1,7,2,3,1/5/2015 15:03,1/7/2015 15:03,2,1
319,10445,288,1,3,2,2,1/5/2015 15:24,1/7/2015 15:24,2,1
320,10698,1813,4,9,3,4,1/5/2015 15:45,1/11/2015 15:45,6,4
321,4282,158,3,4,4,2,1/5/2015 16:06,1/7/2015 16:06,2,2
323,3020,140,3,7,2,3,1/5/2015 16:48,1/9/2015 16:48,4,2
324,76,273,4,3,2,2,1/5/2015 17:09,1/10/2015 17:09,5,4
325,4759,273,4,6,2,4,1/5/2015 17:30,1/11/2015 17:30,6,4
326,1604,273,4,7,1,3,1/5/2015 17:51,1/7/2015 17:51,2,4
327,12107,70,4,6,1,4,1/5/2015 18:12,1/8/2015 18:12,3,4
328,1149,145,4,3,4,2,1/5/2015 18:33,1/9/2015 18:33,4,4
330,5175,145,2,3,2,2,1/5/2015 19:15,1/6/2015 7:15,1,0
332,4171,1565,1,3,2,2,1/5/2015 19:57,1/7/2015 19:57,2,1
333,2071,1565,4,7,4,3,1/5/2015 20:18,1/9/2015 20:18,4,4
334,3752,185,4,7,2,3,1/5/2015 20:39,1/10/2015 20:39,5,4
335,7710,149,4,6,2,4,1/5/2015 21:00,1/11/2015 21:00,6,4
336,5479,157,4,6,1,4,1/5/2015 21:21,1/7/2015 21:21,2,4
337,6747,157,4,3,1,2,1/5/2015 21:42,1/8/2015 21:42,3,4
338,4666,1407,4,3,4,2,1/5/2015 22:03,1/9/2015 22:03,4,4
339,8326,1676,4,6,2,4,1/5/2015 22:24,1/10/2015 22:24,5,4
342,8809,185,3,4,2,2,1/5/2015 23:28,1/8/2015 23:28,3,2
343,10952,1514,3,3,2,2,1/5/2015 23:49,1/9/2015 23:49,4,2
345,11040,1514,3,8,2,4,1/6/2015 0:31,1/12/2015 0:31,6,2
347,11662,214,3,3,2,2,1/6/2015 1:13,1/9/2015 1:13,3,2
348,12120,156,4,3,4,2,1/6/2015 1:34,1/10/2015 1:34,4,4
349,9103,156,4,3,2,2,1/6/2015 1:55,1/11/2015 1:55,5,4
350,10672,1536,4,3,2,2,1/6/2015 2:16,1/12/2015 2:16,6,4
351,12049,1822,4,3,1,2,1/6/2015 2:37,1/8/2015 2:37,2,4
352,1977,1822,4,7,1,3,1/6/2015 2:58,1/9/2015 2:58,3,4
353,2234,1822,4,8,4,4,1/6/2015 3:19,1/10/2015 3:19,4,4
354,5862,1822,4,8,2,4,1/6/2015 3:40,1/11/2015 3:40,5,4
355,11682,1822,4,8,2,4,1/6/2015 4:01,1/12/2015 4:01,6,4
356,2209,1822,4,6,1,4,1/6/2015 4:22,1/8/2015 4:22,2,4
357,2685,1773,3,3,2,2,1/6/2015 4:43,1/9/2015 4:43,3,2
358,2979,1773,3,6,2,4,1/6/2015 5:04,1/10/2015 5:04,4,2
359,6020,1773,3,7,2,3,1/6/2015 5:25,1/11/2015 5:25,5,2
360,8020,1773,3,3,2,2,1/6/2015 5:46,1/12/2015 5:46,6,2
362,10167,281,2,8,4,4,1/6/2015 6:28,1/6/2015 18:28,0,0
363,3619,281,2,2,4,1,1/6/2015 6:49,1/6/2015 18:49,0,0
364,6035,281,4,8,2,4,1/6/2015 7:10,1/11/2015 7:10,5,4
365,2400,1473,4,7,2,3,1/6/2015 7:31,1/12/2015 7:31,6,4
366,4422,1473,4,7,1,3,1/6/2015 7:52,1/8/2015 7:52,2,4
367,8730,1812,4,8,1,4,1/6/2015 8:13,1/9/2015 8:13,3,4
368,5783,154,4,3,4,2,1/6/2015 8:34,1/10/2015 8:34,4,4
370,4791,154,4,7,2,3,1/6/2015 9:16,1/12/2015 9:16,6,4
372,776,176,4,3,1,2,1/6/2015 9:58,1/9/2015 9:58,3,4
373,3630,176,3,6,2,4,1/6/2015 10:19,1/10/2015 10:19,4,2
375,6561,176,3,8,2,4,1/6/2015 11:01,1/12/2015 11:01,6,2
376,1369,85,3,6,4,4,1/6/2015 11:22,1/8/2015 11:22,2,2
377,514,85,3,8,2,4,1/6/2015 11:43,1/9/2015 11:43,3,2
378,10071,227,3,7,2,3,1/6/2015 12:04,1/10/2015 12:04,4,2
381,5756,1578,4,4,1,2,1/6/2015 13:07,1/8/2015 13:07,2,4
382,8143,163,3,8,2,4,1/6/2015 13:28,1/9/2015 13:28,3,2
383,10509,1780,3,7,2,3,1/6/2015 13:49,1/10/2015 13:49,4,2
384,2610,1780,1,2,2,1,1/6/2015 14:10,1/8/2015 14:10,2,1
385,10667,1780,3,3,2,2,1/6/2015 14:31,1/12/2015 14:31,6,2
386,3568,293,4,6,1,4,1/6/2015 14:52,1/8/2015 14:52,2,4
387,7193,1715,4,2,1,1,1/6/2015 15:13,1/9/2015 15:13,3,4
388,2790,256,4,3,4,2,1/6/2015 15:35,1/10/2015 15:35,4,4
389,4435,172,4,3,2,2,1/6/2015 15:56,1/11/2015 15:56,5,4
390,5590,144,4,6,2,4,1/6/2015 16:17,1/12/2015 16:17,6,4
391,5816,85,4,7,1,3,1/6/2015 16:38,1/8/2015 16:38,2,4
392,3238,85,4,6,1,4,1/6/2015 16:59,1/9/2015 16:59,3,4
393,1047,85,4,2,4,1,1/6/2015 17:20,1/10/2015 17:20,4,4
394,76,85,4,7,2,3,1/6/2015 17:41,1/11/2015 17:41,5,4
395,3934,85,4,3,2,2,1/6/2015 18:02,1/12/2015 18:02,6,4
396,9078,85,4,5,1,3,1/6/2015 18:23,1/8/2015 18:23,2,4
397,4476,1721,4,2,1,1,1/6/2015 18:44,1/9/2015 18:44,3,4
